file_path,file_size,sheet_count,max_rows,max_cols,total_cells,non_empty_cells,numeric_cell_count,string_cell_count,formula_count,hyperlink_count,avg_cell_length,entropy_of_text,base64_pattern_count,hex_pattern_count,has_macro,remote_template_present,ocr_extracted_text_length,preview_image_text_entropy,deceptive_keywords_count_ocr,macro_line_count,macro_procedure_count,macro_chr_count,macro_string_function_count,macro_arithmetic_operator_count,macro_concatenation_count,macro_callbyname_count,macro_comment_lines,macro_average_line_length,macro_token_count,macro_count,uses_file_api,uses_network_api,uses_process_api,merged_cells_count,hidden_sheets_count,protected_sheets_count,named_ranges_count,empty_sheet_count,rich_text_formatting_count,macro_count_parentheses,macro_count_assignments,macro_max_line_length,macro_max_string_literals,macro_max_arithmetic_ops,macro_max_concat_ops,macro_vocab_size,preview_image_width,preview_image_height,label
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2891.xlsx,170034,3,2877,5,19754,13424,4495,8929,3,0,11.15189213349225,5.75885550586601,0,0,0,1,0,0,0,13424,0,42,0,4685,0,0,0,11.15189213349225,10243,0,1,0,1,0,0,0,0,0,0,6,3,41,0,2,0,10243,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2089.xlsx,207064,2,2575,9,23182,17794,6014,11780,1,0,11.11571316173991,5.746340804615333,0,0,0,1,0,0,0,17794,0,56,0,6289,0,0,0,11.11571316173991,11986,0,1,0,1,0,0,0,0,0,0,2,1,36,0,2,0,11986,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/1408fdeb90a9d5f0e36854f625f411431e1f552f96b66432971b81356e5e3459.xlsx,90624,1,131,18,2358,26,0,26,0,0,92.0,5.2377908959514,4,0,0,0,0,0,0,26,0,0,0,20,0,0,0,92.0,139,0,0,0,0,0,0,0,0,0,0,24,9,2105,50,20,0,139,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/e6f68602740d2b8b6c357674c34687ed9e5af1f1ec3419f3d95c866ee49d1011.xlsx,905216,6,1002,104,100586,13450,13057,393,0,0,3.70594795539033,2.73712946073673,0,0,0,0,0,0,0,13562,2,0,0,189,3,0,0,3.66708450081109,685,0,0,0,0,0,0,0,0,0,0,122,0,95,0,3,1,685,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/791da98ed2a496782330a4f510b0a6904ad372f9217fbbae484589d6fd6d35b7.xlsx,70594,5,31,20,1174,64,0,64,53,0,48.640625,5.1735553632946,0,0,0,14,0,0,0,64,0,0,0,71,190,0,0,48.640625,157,0,0,0,0,0,4,0,7,1,0,121,60,1538,12,7,125,157,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_7510.xlsx,113149,1,804,15,12060,9652,3240,6412,1,0,11.20462080397845,5.758809468622862,0,0,0,1,0,0,0,9652,0,34,0,3240,0,0,0,11.20462080397845,8462,0,0,0,0,0,0,0,0,0,0,2,1,35,0,2,0,8462,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/525895d6d429062bb2e77dcb25f0de12487ad77c379e735ff2122eba08364ed3.xls,338944,3,395,191,77663,385,279,106,0,0,3.7064935064935,3.69117464834212,0,0,0,0,0,0,0,385,0,0,0,6,0,0,0,3.7064935064935,199,0,1,0,1,0,0,0,0,0,0,0,0,33,0,4,0,199,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/6daadb06e4a067331299fbf0733fe87c0d5c6c62a8a777a669ffe9f0798967c1.xls,45056,1,24,12,288,140,108,32,0,0,7.97142857142857,4.98577233350247,0,0,0,0,0,0,0,150,0,0,0,24,0,0,0,7.37333333333333,131,0,0,0,0,0,0,0,0,0,0,18,0,43,0,2,0,131,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2843.xlsx,372508,4,945,21,42504,34403,11417,22986,4,0,11.19588407987676,5.750651881651573,0,0,0,1,0,0,0,34403,0,133,0,12123,0,0,0,11.19588407987676,15808,0,1,0,0,0,0,0,0,0,0,8,4,39,0,2,0,15808,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_4941.xlsx,65327,1,959,6,5754,4980,1651,3329,0,0,11.17389558232932,5.74967649705679,0,0,0,1,0,0,0,4980,0,21,0,1732,0,0,0,11.17389558232932,5460,0,0,0,1,0,0,0,0,0,0,0,0,36,0,2,0,5460,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_269.xlsx,234824,2,2898,7,26970,19652,6552,13100,2,0,11.21585589253002,5.744607315435452,0,0,0,1,0,0,0,19652,0,66,0,6912,0,0,0,11.21585589253002,12535,0,1,0,1,0,0,0,0,0,0,4,2,38,0,2,0,12535,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2532.xlsx,456438,3,2556,18,47946,41000,13657,27343,0,0,11.1520487804878,5.755358988062358,0,0,0,1,0,0,0,41000,0,138,0,14057,0,0,0,11.1520487804878,16842,0,1,0,1,0,0,0,0,0,0,0,0,40,0,2,0,16842,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/fc3d5916daedd894dee5a69d52828e065a6b430d46653cd8c59f6cabb40f5e14.xls,338944,3,133,54,9400,384,279,105,0,0,3.63020833333333,3.63193677438628,0,0,0,0,0,0,0,384,0,0,0,2,0,0,0,3.63020833333333,193,0,1,0,1,0,0,0,0,0,0,0,0,13,0,1,0,193,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/8a51d134586091694728a522a3c8011cd441df06c9649a0a0275e43631102ec9.xlsx,158808,2,38,8,304,55,25,30,0,0,7.14545454545454,4.81041204166287,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,7.14545454545454,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,45,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_4952.xlsx,129201,3,2481,6,11562,9896,3244,6652,0,0,11.17330234438157,5.756142548435668,0,0,0,1,0,0,0,9896,0,34,0,3543,0,0,0,11.17330234438157,8540,0,1,0,0,0,0,0,0,0,0,0,0,38,0,2,0,8540,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/28b4a629882228398218257734ea3ac1eb888d82dddc12b65aa79b220ec96864.xls,1532928,3,207,47,14495,782,36,746,0,0,75.0524296675191,4.92683338409979,0,0,0,0,0,0,0,821,0,0,1,71,0,0,0,71.4397076735688,2268,0,0,0,0,0,0,0,0,0,0,487,21,887,0,4,0,2268,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/73456575a84d9c7e20d29b3634df110e39510cb46309ab9daba7dd5aa1c71b53.xlsx,108032,4,46,20,1502,102,12,90,0,0,8.05882352941176,4.95034803186983,0,0,0,0,0,0,0,102,0,0,0,24,48,0,0,8.05882352941176,77,0,0,0,0,0,0,0,0,0,0,12,1,89,22,4,9,77,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/ae2e7cc6644fbc8e27d85b4e48b92333644c73acd07bc171e68b336004da1d7a.xlsx,360453,20,171,26,19047,5404,3627,1768,733,12,16.1756106587712,5.169993624525,0,0,0,64,0,0,0,5404,0,2,1,2298,77,0,0,16.1756106587712,4100,0,0,0,1,24,0,0,724,0,1884,1906,747,819,8,5,1,4100,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/e86c4e32e85e6951cbdfa76c00301efb8b6c65e57269fb9fca3fed3ffd9d99bd.xls,338944,3,133,54,9400,384,279,105,0,0,3.63020833333333,3.63193677438628,0,0,0,0,0,0,0,384,0,0,0,2,0,0,0,3.63020833333333,193,0,1,0,1,0,0,0,0,0,0,0,0,13,0,1,0,193,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_8048.xlsx,17000,1,150,7,1050,875,260,615,0,0,11.648,5.802647240040781,0,0,0,1,0,0,0,875,0,3,0,301,0,0,0,11.648,1361,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,1361,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2182.xlsx,58161,3,1181,20,5937,4094,1313,2781,1,0,11.47020029311187,5.736829679933678,0,0,0,1,0,0,0,4094,0,13,0,1490,0,0,0,11.47020029311187,4724,0,1,0,0,0,0,0,0,0,0,2,1,40,0,2,0,4724,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/d0ff739fb563b41c9ff4535cd03ccd5d4031a9724a8131c35e148e11f82a3437.xls,339968,3,431,231,101779,385,279,106,0,0,3.7090909090909,3.70151428233868,0,0,0,0,0,0,0,385,0,0,0,6,0,0,0,3.7090909090909,199,0,1,0,1,0,0,0,0,0,0,0,0,34,0,4,0,199,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/bcb62eab32937c13ba267c24ce8488ef4973989bb41e0d282b2e92ee3b2240a0.xlsx,83225,11,220,20,14990,751,7,744,0,0,198.687083888149,4.66320617129776,0,0,0,0,0,0,0,751,0,0,39,524,0,0,0,198.687083888149,1934,0,0,1,1,0,0,0,0,0,0,0,0,604,4,6,0,1934,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/4686d1f6212cee3d11821b0da03cdc7e4dcf9dcad967f43e13d1b73ff09106d7.xlsx,70594,5,31,20,1174,64,0,64,53,0,48.640625,5.1735553632946,0,0,0,14,0,0,0,64,0,0,0,71,190,0,0,48.640625,157,0,0,0,0,0,4,0,7,1,0,121,60,1538,12,7,125,157,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/b395fb5f50d07c2f5df94254d8f1cf907605c41e7b275736f1d701ea9565bdba.xlsx,148268,10,37,20,1782,83,3,80,67,0,44.5662650602409,5.00593959494917,0,0,0,20,0,0,0,83,0,0,0,71,239,0,0,44.5662650602409,186,0,0,0,0,0,9,0,8,1,0,160,81,1848,12,6,158,186,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/3bc071f7a38b2dfc53d241880ec28f4927c58fef2f0789a8042023bdb48ce2dc.xlsx,105965,7,37,20,1383,69,2,67,57,0,53.6666666666666,5.20144058365781,0,0,0,16,0,0,0,69,0,0,0,69,213,0,0,53.6666666666666,165,0,0,0,0,0,6,0,7,1,0,135,67,1897,12,6,138,165,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/3de85e491fb06b4c66781b39dea7349b590012c8e08ce5c3badecbaac6bd71df.xlsx,94228,1,115,12,1380,11,1,10,0,0,383.545454545454,5.27446278608957,9,0,1,9,0,0,0,11,0,0,0,5,16,0,0,383.545454545454,92,1,0,0,1,0,0,0,0,0,0,8,10,2971,18,2,14,92,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_1566.xlsx,205113,1,1194,18,21492,18450,6234,12216,0,0,11.14650406504065,5.759314073703993,0,0,0,1,0,0,0,18450,0,69,0,6311,0,0,0,11.14650406504065,12052,0,1,0,1,0,0,0,0,0,0,0,0,37,0,2,0,12052,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/19765c8fe2b057ace7197e0dbab79073aeb96a9e6d6660fa84685e2b617a1a55.xls,338944,3,133,54,9400,384,279,105,0,0,3.63020833333333,3.63193677438628,0,0,0,0,0,0,0,384,0,0,0,2,0,0,0,3.63020833333333,193,0,1,0,1,0,0,0,0,0,0,0,0,13,0,1,0,193,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/859ce813139eb11b261623f622ce3b06792469693d8ab1f6449787383444741b.xlsx,48877,2,38,8,304,55,25,30,0,0,7.14545454545454,4.81041204166287,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,7.14545454545454,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,45,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/367e2a9a14da4d2ab78de2e9bfa4867edc80e8a4af715075e9c5cf14ce73f02e.xlsx,106496,4,35,20,1224,65,3,62,0,0,13.5692307692307,4.37953470596856,0,0,0,0,0,0,0,65,0,0,0,31,129,0,0,13.5692307692307,139,0,0,0,0,0,0,0,0,0,0,4,1,163,61,9,29,139,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/98315b7532c19e0a02937d11347be344bba1ee3a2231725840a8f244e431509f.xlsx,197528,1,3,1,3,0,0,0,0,0,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_1011.xlsx,227349,3,1151,11,23308,20002,6688,13314,0,0,11.2035296470353,5.747131864626599,0,0,0,1,0,0,0,20002,0,85,0,7036,0,0,0,11.2035296470353,12568,0,1,0,0,0,0,0,0,0,0,0,0,36,0,2,0,12568,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_218.xlsx,420298,4,1796,15,48729,38642,12811,25831,3,0,11.1585321670721,5.749807015094178,0,0,0,1,0,0,0,38642,0,123,0,13706,0,0,0,11.1585321670721,16485,0,1,0,1,0,0,0,0,0,0,6,3,38,0,2,0,16485,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/f36e021a3c3fc3441db2e9cdde95706ec10f9134929b49bde0b693f30c2ecc14.xlsx,59055,6,52,22,1905,84,8,76,0,0,4.97619047619047,5.11332208415298,0,0,0,0,0,0,0,84,0,0,0,12,0,0,0,4.97619047619047,78,0,0,0,1,0,0,0,0,0,0,8,1,51,4,4,0,78,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/f8303353b61cd6ec50ec19e3ffed9446f058a102674f30e51d4bf4e9b995deb1.xls,338944,3,133,54,9400,384,279,105,0,0,3.63020833333333,3.63193677438628,0,0,0,0,0,0,0,384,0,0,0,2,0,0,0,3.63020833333333,193,0,1,0,1,0,0,0,0,0,0,0,0,13,0,1,0,193,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/df43427d915757b0932c26b7029a6f1bd5602383b04d075ce0ad95f40b1c2e19.xlsx,50687,2,68,152,10861,20,0,20,3,0,308.3,4.42047813100138,0,0,0,10,0,0,0,20,0,0,0,5,0,0,17,308.3,406,0,0,0,0,0,1,0,1,0,0,4,4,433,2,5,0,406,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2653.xlsx,164548,2,1176,15,16446,14096,4662,9434,0,0,11.18686152099887,5.745011626043706,0,0,0,1,0,0,0,14096,0,36,0,5042,0,0,0,11.18686152099887,10507,0,1,0,1,0,0,0,0,0,0,0,0,38,0,2,0,10507,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/e25e8e8c4bcd80495950b51aef6d7413447fcf0b639b24cca86aa3e4d8173150.xlsx,108032,4,46,20,1502,102,12,90,0,0,8.05882352941176,4.95034803186983,0,0,0,0,0,0,0,102,0,0,0,24,48,0,0,8.05882352941176,77,0,0,0,0,0,0,0,0,0,0,12,1,89,22,4,9,77,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_4559.xlsx,426112,3,1636,20,45744,39296,13039,26257,0,0,11.15813314332248,5.750698685286188,0,0,0,1,0,0,0,39296,0,126,0,13916,0,0,0,11.15813314332248,16540,0,1,0,1,0,0,0,0,0,0,2,0,39,0,2,0,16540,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/8e57df83d1c6141ba2688e33848e10c16d217afcff20f0d016af2a88b3d86776.xlsx,98304,6,50,22,2856,101,9,92,0,0,6.04950495049504,5.3598018897927,0,0,0,0,0,0,0,101,0,0,0,47,1,0,0,6.04950495049504,82,0,0,0,0,0,0,0,0,0,0,6,1,61,3,6,1,82,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/398d8a8f0f937d4a2acd69a58eb4111ae21c13e2ee627032553502d29ca9432e.xlsx,106496,4,35,20,1224,65,3,62,0,0,13.5692307692307,4.37953470596856,0,0,0,0,0,0,0,65,0,0,0,31,129,0,0,13.5692307692307,139,0,0,0,0,0,0,0,0,0,0,4,1,163,61,9,29,139,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/2ed6abf3292879b6b970be05d74150a4a6b3a71016dbb5d2a0f85d56f6d3b5fb.xlsx,132612,1,114,12,1368,10,1,9,0,0,416.1,5.2204733251942,9,0,0,0,0,0,0,10,0,0,3,5,16,0,0,416.1,86,0,0,0,1,0,0,0,0,0,0,8,10,3115,18,2,14,86,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/33d2cd0f3b69219693cc3c0514afac9cbddd0de890107062afdc25102970bf53.xlsx,143952,2,624,22,9262,6,0,6,3,0,36.6666666666666,5.38220497457685,0,0,0,10,0,0,0,6,0,0,0,9,0,0,0,36.6666666666666,29,0,0,0,0,0,1,0,1,0,0,6,4,89,2,6,0,29,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_8661.xlsx,190976,2,2527,15,22116,16028,5272,10756,2,0,11.22828799600699,5.760514685278681,0,0,0,1,0,0,0,16028,0,50,0,5621,0,0,0,11.22828799600699,11245,0,1,0,1,0,0,0,0,0,0,4,2,38,0,2,0,11245,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/e95a5072b5ea6d8392293d20e71ff452e9863200d786e8c80d65c5f01d14e768.xlsx,68223,1,1909,82,156538,3908,3878,30,0,0,4.77840327533265,3.14095862004693,0,0,0,0,0,0,0,3908,0,0,0,2,0,0,0,4.77840327533265,202,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,202,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_3893.xlsx,51738,1,1078,4,4312,3693,1253,2440,0,0,11.07636068237206,5.73892915688893,0,0,0,1,0,0,0,3693,0,18,0,1285,0,0,0,11.07636068237206,4358,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,4358,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/5a99dd9fd1b5ec0b0afe90b2c4a9bc0bad50c60f9bbefc566cdd9a3d16f990ae.xlsx,105427,7,37,20,1383,69,2,67,57,0,54.4782608695652,5.23146204794179,0,0,0,16,0,0,0,69,0,0,0,69,219,0,0,54.4782608695652,169,0,0,0,0,0,6,0,7,1,0,137,68,1907,12,6,138,169,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/56e5ff88c20be6d4a8ce5f22c4c09dc6b8a9daa321c4466d5d68d8626f8ef6b3.xlsx,126412,11,55,22,2449,104,11,93,0,0,3.44230769230769,4.999110989876,0,0,0,0,0,0,0,104,0,0,0,13,1,0,0,3.44230769230769,75,0,0,0,0,0,0,0,0,0,0,6,3,46,4,5,1,75,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/37c6390d261c0d292bb45c734450ce4dec23c6b85f7a06d3d90c931ee7cab609.xlsx,158791,2,38,8,304,55,25,30,0,0,7.14545454545454,4.81041204166287,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,7.14545454545454,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,45,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_1391.xlsx,580827,4,1945,20,68139,54642,18269,36373,4,0,11.13941656601149,5.748191990571953,0,0,0,1,0,0,0,54642,0,197,0,19416,0,0,0,11.13941656601149,18215,0,1,0,1,0,0,0,0,0,0,8,4,39,0,2,0,18215,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/22d870a984a5e2ac73547271858d80d119dcaff6aea4ecac70dafe2659d65737.xlsx,1665914,3,1,1,3,0,0,0,0,0,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/538852c75f21017cf11add669dc4d9ef298ab1002be67dccfcc5705a0f80a1af.xlsx,341145,15,38,11,2363,58,13,45,0,0,5.41379310344827,4.83844715902679,0,0,0,0,0,0,0,58,0,0,0,3,0,0,0,5.41379310344827,44,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,44,0,0,1
